ആർക്ക෠പ്പം	ആർക്ക്+ഒപ്പം
കയ෣യോളവും	കയ്+ഓളവും
മാച്ചුയ	മാച്ച്+ആയ
ഇരുണ്ട෗ം	ഇരുണ്ട+ഉം
നുറുക്ക෗ം	നുറുക്ക്+ഉം
അടിහകളോട്	അടിമ+കളോട്
ചേര෗ന്നു	ചേര്+ഉന്നു
തുവෆുന്നു	തുവര+ഉന്നു
വേര෗റപ്പിക്കുന്ന	വേര്+ഉറപ്പിക്കുന്ന
അෆവാൻ	അരവ്+ആൻ
പഴළതും	പഴയത്+ഉം
ഇളහൺ	ഇള+മൺ
കൊട෕യേറ്റ്	കൊടി+ഏറ്റ്
ശാന്തහാവും	ശാന്തം+ആവും
മറ്റෝതും	മറ്റ്+ഏതും
ചാലුക്ക	ചാല്+ആക്ക
അച്യുത඾ുണ്ണി	അച്യുതന്+ഉണ്ണി
അണළാണ്	അണ+ആണ്
അല෕ഖ്	അൽ+ഇഖ്
അഴുക്കුക്കി	അഴുക്ക്+ആക്കി
അമ്හയായും	അമ്മ+ആയും
നായෆം	നായർ+അം
ജඵയിൽ	ജട+ഇൽ
അයയാളുടെ	അത്+അയാളുടെ
ചെറ෕യേരി	ചെറി+ഏരി
മാത്രහായി	മാത്രം+ആയി
മുക്തහായ	മുക്തം+ആയ
വെട്ടുණല്ലോ	വെട്ടുക+അല്ലോ
ഇല്෈ത്തും	ഇല്ലത്ത്+ഉം
പണ෕യാൻ	പണി+ആൻ
ഇඵക്കാലത്ത്	ഇടക്ക+ആലത്ത്
അക്കඹം	അക്ക്+അണം
മേല෗ദ്യോഗസ്ഥൻ	മേൽ+ഉദ്യോഗസ്ഥൻ
കാളിയ඾ിൽ	കാളി+അനിൽ
നെല෕ന്റെ	നെല്+ഇന്റെ
വയറ෕ല്	വയറ്+ഇല്
കേളණത്ത്	കേള്+അകത്ത്
വേണ്ട෕യും	വേണ്ടി+ഉം
അന്ന඼ാന	അന്ന്+അദാന
വാര෕യത്	വാരി+അത്
താඵിത്	താടി+ത്
അക്രහത്തിൽ	അക്രം+അത്തിൽ
ആාാരവും	ആഹാ+രവും
എന്നොന്തുകൊണ്ട്	എന്ന്+എന്തുകൊണ്ട്
തേങ്ങ෗ന്ന	തേങ്ങ്+ഉന്ന
ആട്ട෗ന്ന	ആട്ട്+ഉന്ന
നിയമ෕ക്കണം	നിയമി+കണം
സහത്ത്	സം+അത്ത്
കൊന്඾യാളുടെ	കൊന്ന+ആളുടെ
ചേ෈പ്പുറം	ചേല്+അപ്പുറം
പാട෕ച്ച്	പാട്+ഇച്ച്
അച്ഛനොയും	അച്ഛന്+എയും
പൊല෕പ്പിച്ച്	പൊലിപ്പ്+ഇച്ച്
മඹത്ത്	മണ+അത്ത്
പ്രതിහയിൽ	പ്രതി+മയിൽ
കരിപ്പෘരിൽ	കരിപ്പ്+ഊരിൽ
ചുള്ള෕ക്കര	ചുള്ള്+ഇക്കര
നീരුട്ടം	നീര്+ആട്ടം
എ෈പ്പുള്ളി	എല+പുള്ളി
ഇട്ട෕ട്ടും	ഇട്ട്+ഇട്ടും
കള്෉ക്കര	കള്ള്+അക്കര
ഇഞ്ചණ്ഷന്	ഇഞ്ച്+അക്ഷന്
സമුകാലിക	സമ+ആകാലിക
വീത෕ക്കും	വീത+ഇക്കും
അച്ചුറിന്	അച്ച്+ആറിന്
ആശ്രിത඾ും	ആശ്രിതന്+ഉം
മേ෈റ്റവും	മേൽ+അറ്റവും
ഒഴ෕യുള്ള	ഒഴി+ഉള്ള
കൈകൂപ്പ෗ം	കൈകൂപ്പ്+ഉം
എඵക്കയിൽ	എടക്ക+ഇൽ
കേളණം	കേള്+അകം
കാത്ത෕ല്ല	കാത്ത്+ഇല്ല
അ෈ഴി	അൽ+അഴി
അജിයും	അജി+തും
അമ്മാന෕ൽ	അമ്മാൻ+ഇൽ
പച്ධമണ്ണും	പച്ചമണ്ണ്+ഉം
അജළന്	അജയ്+അന്
കതിෆൂരും	കതിര്+ഊരും
ത്വക്ക෕ന്	ത്വക്ക്+ഇന്
നാ෈ുവരി	നാല്+ഉവരി
ഭാഗ്യහുണ്ടായ	ഭാഗ്യം+ഉണ്ടായ
തെറ്റ෗ണ്ട്	തെറ്റ്+ഉണ്ട്
വിലാപത്ത෕ന്റെ	വിൽ+ആപത്തിന്റെ
പ്ෆദായിനി	പ്രദ+ആയിനി
കത്ത෕രിക്കാലം	കത്തിരിക്ക+ആലം
കടലാസ෕ന്	കടലാസ്+ഇന്
പෝനിനെ	പേൻ+ഇനെ
മൂത്යത്തിന്റെ	മൂത്തത്+തിന്റെ
ചുരുട്ട෕ൽ	ചുരുട്ട്+ഇൽ
ചാരහംഗലം	ചാര്+അമംഗലം
ഏട෕ൽ	ഏട്+ഇൽ
പതിപ്പ෕റക്കുക	പതിപ്പ്+ഇറക്കുക
ചിക്കොൻ	ചിക്ക്+എൻ
ചങ്ക෗ം	ചങ്ക്+ഉം
മാളിණയിൽ	മാളിക+ഇൽ
ഇഞ്ച෡ളം	ഇഞ്ച്+ഓളം
മതහ്പ	മത്+അമ്പ
എന്നුയും	എന്ൻ+ആയും
അമ്හയുണ്ട്	അമ്മയ+ഉണ്ട്
ഇടതിന෡ട്	ഇടതിന്+ഓട്
കൂരിരുട്ട෕ൽ	കൂർ+ഇരുട്ടിൽ
മറ്റുහായി	മറ്റും+ആയി
എതിര෗ം	എതിര്+ഉം
വേട്ඵക്കാരനും	വേട്ടക്കാരൻ+ഉം
ഞാറ෕ന്റെ	ഞാറ്+ഇന്റെ
ചെലവ෕ട്ട	ചെലവ്+ഇട്ട
തിയ്യത෕ക്കു	തിയ്യത്+ഇക്കു
പേരෘർ	പേര്+ഊർ
മ඾ില	മൻ+ഇല
കൊടിയേറ്റ෗ം	കൊടി+ഏറ്റും
വാ෉ച്ചാല്	വാള്+അച്ചാല്
പാട്ടණ്കൽ	പാട്ട്+അക്കൽ
ബ്രഹ്മാവොന്ന	ബ്രഹ്മാവ്+എന്ന
അവෆതു്	അവര്+അതു്
ഇട෇ി	ഇട്+അറി
വാഴුന്	വാഴ്+ആന്
കുരുന്ന෕ല	കുരുന്ന്+ഇല
എന്ന෕താ	എന്ൻ+ഇതാ
ദാരുക඾ും	ദാരുകൻ+ഉം
ക඾ത്താൽ	കന+താൽ
ശാന്തහായും	ശാന്തം+ആയും
ആണ඼്ദേഹം	ആൺ+അദ്ദേഹം
മൃഗീළത	മൃഗീയ+അത
ഓടുന്඾യാളെ	ഓടുന്ന+അയാളെ
മായ඾ാട്	മായൻ+ആട്
ചു෉ിക്ക	ചുൾ+ഇക്ക
ഏറොയും	ഏറ്+എയും
ഹര෕ദാസനും	ഹരിദാസൻ+ഉം
മടുപ്പ෗ം	മടുപ്പ്+ഉം
കാല෗റപ്പിക്കുന്ന	കാല്+ഉറപ്പിക്കുന്ന
അന്ළന്റെ	അന്+അന്റെ
ആദിവാസിക෉ിൽ	ആദിവാസികൾ+ഇൽ
ഓന്ത෕ന്റെ	ഓന്ത്+ഇന്റെ
പുല്ല෡ട്ടെ	പുല്ല്+ഓട്ടെ
സുരക്ഷിതහായും	സുരക്ഷിത+മായും
ഉനക്ക෗ം	ഉന്+അക്കും
ജാහാണ്	ജാം+ആണ്
നാല෕ന്നു	നാൽ+ഇന്നു
പതിമൂന്ന෕ൽ	പതിമൂന്ന്+ഇൽ
പാ෋ക്കൽ	പാവ്+അക്കൽ
മു෉ക	മുൾ+അക
കോടූശ്വരന്മാർ	കോടീശ്വരന്+മാർ
ജീവന෕ല്ലാതെ	ജീവൻ+ഇല്ലാതെ
നീര෠ഴുക്കും	നീര്+ഒഴുക്കും
അറ്റത്ത෕ൽ	അറ്റ്+അത്തിൽ
ചെറ෗കാർ	ചെറുക+ആർ
പാത෕ര	പാ+തിര
വඵയം	വട+അം
കൊട്ട෗ന്ന	കൊട്ട്+ഉന്ന
വിෆമണി	വിരമ+അണി
അവෆതും	അവര്+അതും
കല്ലඹ	കല്ല്+അണ
നടക്കാവ෕ന്റെ	നടക്കാവ്+ഇന്റെ
നേരහ്മാവന്	നേര്+അമ്മാവന്
ജീവന෎്മൃതി	ജീവൻ+അസ്മൃതി
തള෕ക്കണം	തളി+കണം
അവശേഷിക്കുന്඾യാളെ	അവശേഷിക്കുന്ന+യാളെ
നിത്ළനന്ത	നിത്യൻ+അന്ത
വിടവ෕ല്	വിട+വില്
ചിലവුക്കുന്ന	ചിലവ്+ആക്കുന്ന
അല෕ഷാ	അല്+ഇഷാ
അഗ്ര඲നായ	അഗ്രജൻ+ആയ
എന്ന෗റച്ചു	എന്ന്+ഉറച്ചു
ഇടപെടല෕നെ	ഇടപെടല്+ഇനെ
തෆുന്നു	തരു+നു
പാ෈ഭിഷേകം	പാല്+അഭിഷേകം
എല്ല෕നോർ	എല്ലിന്+ഓർ
സാക്ഷ෕യാക്കി	സാക്ഷി+ആക്കി
ഹരහായി	ഹരം+ആയി
ചപ്പහല	ചപ്പ്+അമല
പാക෈ിന്	പാകൽ+ഇന്
ആ෈ാനി	ആൽ+ആനി
കുതിෆുന്ന	കുതിർ+ഉന്ന
വർധിച്ධപ്പോൾ	വർധിച്ച+അപ്പോൾ
അവമത෕പ്പും	അവമതി+പും
ലംബහായും	ലംബമായ+ഉം
നിന്ന෣നീക്കം	നിന്+നീക്കം
ദുരന്തහയാ	ദുരന്തം+അയാ
പ്രിළനഗരം	പ്രിയൻ+അഗരം
ആണොഴുതുക	ആണ്+എഴുതുക
കട෣ടൺ	കട്ട്+അൺ
വാരය്തിൽ	വാര+തിൽ
സമුരാധന	സം+ആരാധന
ഉണ്ടොന്നതിന്	ഉണ്ട്+എന്നതിന്
പു෇ക്കാടി	പുറ+കാടി
കാෆച്ചാല്	കാര+അച്ചാല്
കോട്ടණ്കൽ	കോട്ട്+അക്കൽ
അധ෕കാര	അധിക+ആര
ഇരവුൻ	ഇരവ്+ആൻ
ഏഴ෕ടത്തും	ഏഴ്+ഇടത്തും
കൈ෈ിൻ	കൈൽ+ഇൻ
ലസ෕തം	ലസ+ഇതം
പോ෉ച്ചന്	പോൾ+അച്ചന്
കലങ്ങ෗ം	കൽ+അങ്ങും
പകർപ്പුയ	പകർപ്പ്+ആയ
ഇടത്തෝക്കും	ഇടത്തേക്ക്+ഉം
ഉള്ളതුയ്	ഉള്ളത്+ആയ്
മോෆില്	മോര്+ഇല്
ആത്മാവොന്ന	ആത്മാവ്+എന്ന
കൃഷ്ണුചാരി	കൃഷ്ണാ+ചാരി
കഞ്ചാവ෕ല്	കഞ്ചാവ്+ഇല്
പ്രബുദ്ලനാവും	പ്രബുദ്ധൻ+ആവും
കച്ച෇ക്കൽ	കച്ചറ+കൽ
കാര඾ായും	കാരൻ+ആയും
പൊതുහാപ്പിന്റെ	പൊതുമ+ആപ്പിന്റെ
മേ෈ൂരിൽ	മേൽ+ഊരിൽ
ചീരුല്	ചീര്+ആല്
ബാൽക്കണ෕യായി	ബാൽക്കണി+ആയി
വാരුചരണവും	വാര്+ആചരണവും
കൂട෕യില്ല	കൂടി+ഇല്ല
അടുപ്പത്ത෕ൽ	അടുപ്പ്+അത്തിൽ
ഭയാനණമായി	ഭയാനകം+ആയി
പ്രസ്താവ඾യിൽ	പ്രസ്താവന+അയിൽ
അധ്യക്෍യാക്കി	അധ്യക്ഷ+ആക്കി
ആരුണു	ആര്+ആണു
എഴുത്തുമേ෌യാക്കി	എഴുത്തുമേശ+ആക്കി
ചിത്ෆകാര	ചിത്ര+കാര
അ෈െഫ്	അല്+എഫ്
പലതුയും	പലത്+ആയും
ജനസംഖ്ළയില	ജനസംഖ്യ+ഇല
കണ്ടුവണം	കണ്ട്+ആവണം
മാതാവ෕ൽ	മാത്+ആവിൽ
വേദ඾യിൽ	വേദന+അയിൽ
നവහരം	നവമ+രം
പേര෕ടൽ	പേര്+ഇടൽ
സമ෕തിൽ	സം+ഇതിൽ
മാതෝല	മാത്+ഏല
കൂഴුലി	കൂഴ്+ആലി
അവര෕ങ്ങനെ	അവർ+ഇങ്ങനെ
അത്യുഗ്രහായ	അത്യുഗ്രം+ആയ
ചൂലුക്കി	ചൂൽ+ആക്കി
മ඾ക	മൻ+അക
മുന്നി෈ിൽ	മുന്നിൽ+ഇൽ
ജയณ	ജയ്+അൽ
ചിറ്റ෕ല്ല	ചിറ്റ്+ഇല്ല
ദീപ്തහായും	ദീപ്ത+മായും
പര෕വാരങ്ങൾ	പരിവ്+ആരങ്ങൾ
പരിഷത്ത෗ം	പരിഷ+തും
പൈයൻ	പൈത+അൻ
അനന്തരാහനും	അനന്തരാമന്+ഉം
വരොയാക്കി	വരെ+ആക്കി
കോണ෉വും	കോണ്+അളവും
കതിര෕ന്	കതിർ+ഇന്
പരിവฒത്തന	പരിവ്+അർത്തന
അമര෕ക്കു	അമര്+ഇക്കു
മൂലധനහായ	മൂലധനം+ആയ
മൂ෈ക്കല്ലും	മൂലക്കല്ല്+ഉം
എഴുത്ത෕ൻ	എഴുത്ത്+ഇൻ
കപ്പහായി	കപ്പ്+അമായി
ജന඾സമയത്ത്	ജനൻ+അസമയത്ത്
പുറകොയും	പുറക്+എയും
വീടුണെങ്കിലും	വീട്+ആണെങ്കിലും
ചിറക෕ല്ല	ചിറക്+ഇല്ല
പമ്പ෗ടമ	പമ്പ്+ഉടമ
പിള്෉യായി	പിള്ള+യായി
പു්യാൽ	പുഴ+അയാൽ
മാ඾ുല	മാൻ+ഉല
ശാ෈നം	ശാലൻ+അം
അതොത്തി	അത്+എത്തി
കൊട෗ക്കി	കൊടു+കി
കല്ലෘര്	കല്ല്+ഊര്
അമരമ്പ෈ത്ത്	അമർ+അമ്പലത്ത്
അഭ്യസ്തവിദ്യനුയ	അഭ്യസ്തവിദ്യൻ+ആയ
ഏഴ෇ിവും	ഏഴ്+അറിവും
കൂടුണ്	കൂട്+ആണ്
ബാ෈ചന്ദ്രനും	ബാലചന്ദ്രൻ+ഉം
നെയ്യුം	നെയ്+ആം
കൂ෋യില	കൂവ്+അയില
അന෕ഷ്ടങ്ങൾ	അൻ+ഇഷ്ടങ്ങൾ
പവ඾ന്	പവൻ+അന്
പണහല്ല	പണം+അല്ല
വ്യവസായහായി	വ്യവസായം+ആയി
ഉന്඾ിന്	ഉന്+നിന്
ആപ്പොഴുത്ത്	ആപ്പ്+എഴുത്ത്
ത෋ക്കൽ	തവക്ക+അൽ
പ്രത෕യാക്കി	പ്രതി+ആക്കി
താലവ്യത്ത෕ന്റെ	താലവ്യ+തിന്റെ
കൊട്ඵക്കര	കൊട്ട+കര
ചി෇ക്കുനി	ചിറക്+കുനി
എറ෕യതും	എറി+അതും
ജയුനന്ദനും	ജയ്+ആനന്ദനും
വിറകුക്കി	വിറക്+ആക്കി
നാ෈േക്ര	നാല്+ഏക്ര
ഇട്ඵപ്പോൾ	ഇട്ട്+അപ്പോൾ
ഇട്ട෡ണം	ഇട്ട്+ഓണം
ന඾ച്ചാല്	നൻ+അച്ചാല്
ഏറ෕യാല്	ഏറി+ആല്
ഉരകല്ലුയി	ഉരകല്ല്+ആയി
കടുത്යാൽ	കടുത്+താൽ
പാണ്ട෣യൻ	പാണ്ട്+അൻ
മറ്റ෠രുവന്റെ	മറ്റ്+ഒരുവന്റെ
ആണොങ്കില്	ആണ്+എങ്കില്
ശമനහായി	ശമനം+ആയി
ശരശയ്ළയിൽ	ശരശയ്യ+അയിൽ
ദാരിණന്	ദാരി+കന്
എന്നය്തിന്റെ	എന്ന+തിന്റെ
ചെറുമക്ക෉ും	ചെറുമക്കൾ+ഉം
കുറ෗മാലി	കുറു+മാലി
സമീപහായി	സമീപം+ആയി
എരുവුട്ടി	എരുവ്+ആട്ടി
കയ෣യേറ്റവും	കയ്+ഏറ്റവും
കിടക്കുණയാവും	കിടക്കുക+ആവും
തെറ്റ෗ം	തെറ്റ്+ഉം
വേട඾്റെ	വേട്+അന്റെ
മാ඾ുൾ	മാൻ+ഉൾ
ആര෕ട്ടു	ആര്+ഇട്ടു
അവതാരകനුക്കി	അവതാരകന്+ആക്കി
കടന്നณ	കടന്+നൽ
മുണ്ടෘര	മുണ്ട്+ഊര
സൂക്ഷහത	സൂക്ഷം+അത
കോത෡ള്	കോത്+ഓള്
ദ෗രം	ദുർ+അം
വക്കേ෍ൻ	വക്ക്+ഏഷൻ
പങ്ക෗വ	പങ്ക്+ഉവ
ജിഹ്෋യായി	ജിഹ്വ+യായി
പങ്കොടുപ്പിച്ചു	പങ്ക്+എടുപ്പിച്ചു
അപരിചിത඾ില്	അപരിചിതന്+ഇല്
കുണ്ඵല	കുണ്ട്+അല
എന്നയാ෉ോട്	എന്ൻ+അയാളോട്
തോ෈കവി	തോൽ+അകവി
ഇത෠ന്നിച്ച്	ഇത്+ഒന്നിച്ച്
വ෕മൽ	വിമ+അൽ
കല്യാඹത്തിന്റെ	കല്യാണ+തിന്റെ
ഇടിമിന്നല෗ടെ	ഇടിമിന്നല്+ഉടെ
കാല෗റപ്പിക്കുക	കാൽ+ഉറപ്പിക്കുക
നിര്യാයയായി	നിര്യാത+യായി
കളහായ	കൾ+അമായ
പള്ള෕പ്പടി	പള്ള്+ഇപ്പടി
കരിമ്പුം	കരിമ്പ്+ആം
കൊട෕യേറ്റും	കൊടി+ഏറ്റും
അതിനව്പുറം	അതിന്+അപ്പുറം
പാലණ്	പാല്+അക്
ആശയහായ	ആശയം+ആയ
വിരഹവ෗ം	വിര+അഹവും
വിഷහുണ്ട്	വിഷമ+ഉണ്ട്
താരത്തോട෗ം	താരത്ത്+ഓടും
ഇത෕പ്പോൾ	ഇത്+ഇപ്പോൾ
നായാട്ട෕ന്	നായാട്ട്+ഇന്
നടുණയും	നടുക+ഉം
അശോණവനി	അശോക്+അവനി
വയ෈ായ	വയൽ+ആയ
ആയ෕രിക്കുന്നു	ആയ്+ഇരിക്കുന്നു
കക്കුടും	കക്ക്+ആടും
ഹ്രസ്വහായി	ഹ്രസ്വം+ആയി
കൃത്യහായി	കൃത്യം+ആയി
ജിജ്ഞാ෎യായി	ജിജ്ഞാസ+ആയി
കണ്ണොറിഞ്ഞു	കണ്ണ്+എറിഞ്ഞു
അയව്പന്	അയപ്പ്+അന്
ആണොന്നു	ആണ+എന്നു
ചിറ്റුട്ട്	ചിറ്റ്+ആട്ട്
കරയരങ്ങ്	കഥ+അരങ്ങ്
മയി෈മ്പാടി	മയി+ലമ്പാടി
ഇടහുള്ള	ഇടം+ഉള്ള
ജീവ඾കല	ജീവന്+അകല
മഴහരം	മഴ+മരം
കඵമണ്ണിൽ	കടം+അണ്ണിൽ
കുട്ട඾ാടും	കുട്ടനാട്+ഉം
ലങ്കാലക്ഷ്മ෕യായി	ലങ്കാലക്ഷ്മി+ആയി
എന്നුക്രോശിച്ചു	എന്ന്+ആക്രോശിച്ചു
കവണക്കല്ല෕ൽ	കവണക്കല്ല്+ഇൽ
അനුയാസവും	അൻ+ആയാസവും
ജ෕തരി	ജിത+അരി
ഭാരതപ്പു්യിൽ	ഭാരതപ്പുഴ+അയിൽ
ഹෘമയിൽ	ഹൂം+അയിൽ
ശാസ඾ത്തിൽ	ശാസന+തിൽ
ഏട്ടനොയും	ഏട്ടൻ+എയും
ഒക്കොയായ	ഒക്കെ+ആയ
മാෆായ	മാർ+ആയ
വിത്ത෕ല്	വിത്ത്+ഇല്
പ෡തായ്	പോത്+ആയ്
രാജ്യസසയിൽ	രാജ്യസഭ+അയിൽ
അക෋ശം	അകവ+ശം
ഊෆായ	ഊര്+ആയ
ശാന്ത෕ക്കാരനും	ശാന്തിക്കാരൻ+ഉം
പവിത്ര඾ില്	പവിത്രൻ+ഇല്
കര෕ക്കുളം	കരിക്ക്+ഉളം
വരിക്ණാരും	വരിക്കാർ+ഉം
വ෕സർജ്യത്തിൽ	വിസർജ്യ+അത്തിൽ
ജീവ඾ില്	ജീവന്+ഇല്
സമാ඾ത്തിന്റെ	സമാ+നത്തിന്റെ
പ്ര඲യും	പ്ര+അജയും
ഇടയിലොത്തുന്നു	ഇടയില്+എത്തുന്നു
കാവ෕മുണ്ടും	കാവിമുണ്ട്+ഉം
മෞനിന്റെ	മൈ+നിന്റെ
പ്ෆസ്ഥാന	പ്രസ്ഥ+ആന
വി෈ാസിനെ	വിൽ+ആസിനെ
പാവළിൽ	പാവ+ഇൽ
തലෝന്നു	തൽ+ഏന്നു
കോര෡ത്ത്	കോര്+ഓത്ത്
ഉടച്ചුല്	ഉട+ചാല്
ഉ෈ക്കയും	ഉലക്ക+ഉം
ചൂട෕യാൺ	ചൂടി+ആൺ
നീത෕മാനും	നീതിമാൻ+ഉം
അനിരുദ്ധ඾ില്	അനിരുദ്ധന്+ഇല്
ജූനിന്	ജീൻ+ഇന്
ചെറ෕യമ്മമ്മ	ചെറിയമ്മ+അമ്മ
ചാട്ടහങ്ങ്	ചാട്ട്+അമങ്ങ്
സന്ധ෕ക്കു	സന്ധി+കു
ജീവനුയവന്	ജീവൻ+ആയവന്
അവനොയും	അവന്+എയും
ഇളയിඵത്തും	ഇള+ഇടത്തും
അശോകന෗ം	അശോകന്+ഉം
ശക്ത෕യായി	ശക്തി+ആയി
ആദിത്യന෗ള്ള	ആദിത്യന്+ഉള്ള
വ෈യവും	വല+യവും
ച෕നാട്ട്	ചിൻ+ആട്ട്
അടുക്ക෉യിൽ	അടുക്കള+അയിൽ
അവෆതാ	അവർ+അതാ
തേര෕ന്	തേര്+ഇന്
അങ്ങද്ങിനെ	അങ്ങങ്ങ്+ഇനെ
പതപ്പ෕ച്ച്	പതപ്പ്+ഇച്ച്
അവෆത്ര	അവര്+അത്ര
ചെപ്പെട്ട෕ൽ	ചെപ്പ്+എട്ടിൽ
ആയ෗ള്ളൂ	ആയ്+ഉള്ളൂ
രാവෝല	രാവ്+ഏല
കൂඵപ്പുറം	കൂട്+അപ്പുറം
ഉനෞസ്	ഉന്+ഐസ്
മത്ത෕ക്കര	മത്ത്+ഇക്കര
മ඾സമാധാനവും	മൻ+അസമാധാനവും
വ෈ത്തേ	വല+തേ
പ്രായහായി	പ്രായം+ആയി
പരപ്പ෕ൽ	പര+അപ്പിൽ
ചാവුൻ	ചാവ്+ആൻ
അക്രහണം	അക്+രമണം
സෆിച്ച്	സർ+ഇച്ച്
നേരොങ്കില്	നേര്+എങ്കില്
പച്ചിരുമ്වും	പച്ചിരുമ്പ്+ഉം
ചീര඾്	ചീർ+അന്
എന്നොങ്ങിനെ	എന്ന്+എങ്ങിനെ
കാപ്പුട്ട്	കാപ്പ്+ആട്ട്
യൂറേഷ്ළയിൽ	യൂറേഷ്യ+ഇൽ
കഴിഞ്පപ്പോൾ	കഴിഞ്ഞ+പോൾ
കോപ്പ෗ള്ളി	കോപ്പ്+ഉള്ളി
ഈറ෡ം	ഈറ്+ഓം
പൊയ്യහല	പൊയ്യ്+അമല
ആയුല്	ആയ്+ആല്
രാഷ്ട്രീയහനസ്സ്	രാഷ്ട്രീയം+അനസ്സ്
നായฒജി	നായ+അർജി
പേരණ്ക	പേര്+അക്ക
മായෆുത്	മായ്+അരുത്
അപ്പය്തിന്റെ	അപ്പ്+അത്തിന്റെ
കുര෕ക്കളും	കുരിക്കൾ+ഉം
ജിന്ന෕നെ	ജിന്ന്+ഇനെ
ചിക്ക෕ൽ	ചിക്ക്+ഇൽ
ചൂඵുള്ളതും	ചൂട്+ഉള്ളതും
ചിത്යത്തിന്റെ	ചിത്ത്+അത്തിന്റെ
ശහിക്കും	ശം+ഇക്കും
ഇളහന	ഇളം+അന
ജന്മ෕യായി	ജന്മി+ആയി
അംතത്തിന്റെ	അംഗ+തിന്റെ
ആണ്ട෕റങ്ങുന്ന	ആണ്ട്+ഇറങ്ങുന്ന
സംസാരഭാ෍യായി	സംസാരഭാഷ+ആയി
ഉണക്കුനും	ഉണക്ക്+ആനും
വാ඾ത്തിന്റെ	വാ+നത്തിന്റെ
അത෗ൽ	അത്+ഉൽ
അശോകനොയും	അശോകന്+എയും
സാഹസ෕കരും	സാഹസിക+അരും
അമ്හയാകുക	അമ്മ+ആകുക
അന്നෘറ്	അന്ന+ഊറ്
ക඾ത്ത്	കന+ത്
അവෆെന്ന്	അവര്+എന്ന്
നാ෈ടി	നാല്+അടി
മുറിവුലന്	മുറിവാ+ലന്
ദෘതന്	ദൂത്+അന്
ഏറ෕യോരു	ഏറി+ഓരു
ഏലුട്ട്	ഏൽ+ആട്ട്
കരിമ്പ඾ിക്കും	കരിമ്പൻ+ഇക്കും
ഇതොവിടെ	ഇത്+എവിടെ
നാരුണിന്റെ	നാര്+ആണിന്റെ
നിർമിයമായ	നിർമിതം+ആയ
ചാലණത്തിൽ	ചാല+കത്തിൽ
ത෈ത്തിൽ	തൽ+അത്തിൽ
പഴළവ	പഴ+അയവ
അർജുനനොയും	അർജുനന്+എയും
നേരിළാൻ	നേര്+ഇയാൻ
വട്ടහൺ	വട്ടം+അൺ
പതിനഞ്ച෕ന്	പതിനഞ്ച്+ഇന്
തുമ്പෘര്	തുമ്പ്+ഊര്
കയ്പേറ෕യ	കയ്പ്+ഏറിയ
ഹിമാലළത്തിൽ	ഹിമാലയ+അത്തിൽ
കോ෈ിക്ക്	കോൽ+ഇക്ക്
വിഹിයത്തിന്റെ	വിഹിത+അത്തിന്റെ
ആരොയും	ആരെ+ഉം
ഉഷුരവി	ഉഷാർ+അവി
കാണුവുന്ന	കാൺ+ആവുന്ന
ആപ്ലിക്കേഷന෕ല്	ആപ്ലിക്കേഷന്+ഇല്
അതിഥ෕യായി	അതിഥി+ആയി
ഒടുക෣കൻ	ഒടുക്ക്+അൻ
തുമ്പ෗ം	തുമ്പ്+ഉം
